# bkg-pred	mb=200GeV-pred	mb=300GeV-pred	mb=500GeV-pred	mb=700GeV-pred	mb=900GeV-pred	mb=1100GeV-pred
3.401506543159484863e-01 8.814123868942260742e-01 9.562415480613708496e-01 9.926774501800537109e-01 9.556704759597778320e-01 2.014991641044616699e-01 9.443417787551879883e-01
2.585491240024566650e-01 9.855415225028991699e-01 9.868458509445190430e-01 5.385871529579162598e-01 6.257684826850891113e-01 9.060477018356323242e-01 9.952027797698974609e-01
2.430278509855270386e-01 9.956598877906799316e-01 9.996496438980102539e-01 6.403745412826538086e-01 9.593860507011413574e-01 3.921486139297485352e-01 9.853016734123229980e-01
2.135901153087615967e-01 9.777947664260864258e-01 9.423940181732177734e-01 9.981691837310791016e-01 5.449259877204895020e-01 9.633675813674926758e-01 8.688858747482299805e-01
3.457113504409790039e-01 9.773015379905700684e-01 9.997561573982238770e-01 8.681401014328002930e-01 9.802396893501281738e-01 8.088776469230651855e-01 1.927705854177474976e-01
3.835172951221466064e-01 2.987101078033447266e-01 9.261595010757446289e-01 3.808094561100006104e-01 9.659137129783630371e-01 9.560378789901733398e-01 3.001184761524200439e-01
1.840122044086456299e-01 7.797667980194091797e-01 2.979360520839691162e-01 9.328455328941345215e-01 8.879846334457397461e-01 8.798850774765014648e-01 5.794007182121276855e-01
7.180212736129760742e-01 9.923003911972045898e-01 8.583752512931823730e-01 9.952850937843322754e-01 9.959344863891601562e-01 4.951796233654022217e-01 3.041512966156005859e-01
3.845845460891723633e-01 7.987572550773620605e-01 4.877194762229919434e-01 8.857535719871520996e-01 6.305883526802062988e-01 5.672217011451721191e-01 3.915250599384307861e-01
6.475042104721069336e-01 9.238223433494567871e-01 5.428621172904968262e-01 9.569498300552368164e-01 9.961754083633422852e-01 9.652059674263000488e-01 9.662361145019531250e-01
2.954533994197845459e-01 9.763052463531494141e-01 9.778071045875549316e-01 9.853331446647644043e-01 2.681689560413360596e-01 8.777733445167541504e-01 3.524066209793090820e-01
8.860688656568527222e-02 9.994587302207946777e-01 9.196586012840270996e-01 7.687749862670898438e-01 6.411293745040893555e-01 9.158301949501037598e-01 9.412745833396911621e-01
1.213439777493476868e-01 7.749569416046142578e-01 9.550447463989257812e-01 4.137862026691436768e-01 9.180509448051452637e-01 5.944262742996215820e-01 2.278048396110534668e-01
