# mN	mSQ	0sq(mean)	1sq(mean)	2sq(mean)	S-comb(mean)	0sq(std)	1sq(std)	2sq(std)	S-comb(std)	0sq(min)	1sq(min)	2sq(min)	S-comb(min)	0sq(max)	1sq(max)	2sq(max)	S-comb(max)
5.000000000000000000e+02 2.000000000000000000e+03 1.162990201304544245e-02 2.778157628339378293e-01 1.177159189575639475e+00 1.386610507056937447e+00 1.819031519377187125e-03 1.207066762583239479e-02 2.817516267790494411e-02 2.965074288810964562e-02 1.088324929189153634e-02 2.712551690943652005e-01 1.156786801551508814e+00 1.361495922319223117e+00 1.317874000350672224e-02 2.884922835377973227e-01 1.215595437021474989e+00 1.429344384178496297e+00
5.000000000000000000e+02 2.200000000000000000e+03 3.620456107519753712e-03 1.898821131420984076e-01 9.371724138174337693e-01 1.081494122632714161e+00 4.299551917166742057e-04 3.335767130527178548e-02 4.169089187705110611e-02 4.252685440468906286e-02 3.270444938121292409e-03 1.847605017002808270e-01 9.187388137498694318e-01 1.063135399086158506e+00 4.452482901839754578e-03 1.990878354829828112e-01 9.626742400011153444e-01 1.111107908936401323e+00
5.000000000000000000e+02 2.300000000000000000e+03 7.379188990721806743e-03 1.514662349655700180e-01 7.980326610598000858e-01 9.128616440834035339e-01 1.618305364384342799e-03 2.911370537335640843e-02 3.656889570612568974e-02 3.479878820195973776e-02 6.527030209464897322e-03 1.432597502397633948e-01 7.778924254748091904e-01 8.951932615858038123e-01 8.780208111440403196e-03 1.629108063171546550e-01 8.255128996486746917e-01 9.423658243477808227e-01
5.000000000000000000e+02 2.700000000000000000e+03 1.637513420674908699e-03 4.738120640287644958e-02 3.390371329492470887e-01 3.771371361153679769e-01 3.523781296744260810e-03 1.827542056967048495e-02 3.578518071721966537e-02 3.665013801461060317e-02 8.818931291629576947e-04 4.364187374213881337e-02 3.129079910877249904e-01 3.467399172991554313e-01 1.220346427113519656e-02 5.778177588341015802e-02 3.863583774032924856e-01 4.297254268632144658e-01
5.000000000000000000e+02 3.000000000000000000e+03 4.909648998468950061e-04 1.741807443002699879e-02 1.269557063134709451e-01 1.416176193772078207e-01 1.432693639637034819e-04 1.100031266410402518e-02 2.417679903202181804e-02 2.554508899520030810e-02 4.254940379996868956e-04 1.373150158365406097e-02 1.068616351770783207e-01 1.200367920531190957e-01 7.847605799850096864e-04 3.722303596113425705e-02 1.721596352763694326e-01 1.903175202517613240e-01
7.000000000000000000e+02 2.000000000000000000e+03 8.406934698946929435e-03 2.233412288212051899e-01 9.551462030568546036e-01 1.140524241002075945e+00 1.052293657960294690e-03 6.675205077013844114e-03 2.009416847681404564e-02 2.319691093773320820e-02 7.977200237120981099e-03 2.128421671495457634e-01 9.315528643440473822e-01 1.110969202107726428e+00 9.588205613414011244e-03 2.319364432067538562e-01 9.860409150478718354e-01 1.178360125152627225e+00
7.000000000000000000e+02 2.200000000000000000e+03 6.613729605937572302e-03 1.634191482491061387e-01 7.960514972268558642e-01 9.288090444347339991e-01 5.945581233165017805e-03 6.937853137686057770e-03 2.260225377945921862e-02 2.532077298668004850e-02 6.264832855564218990e-03 1.594968353247760706e-01 7.878313124525484490e-01 9.202618276965243149e-01 2.230435027343883464e-02 1.695672934027095680e-01 8.152428233536812563e-01 9.561043118910056426e-01
7.000000000000000000e+02 2.300000000000000000e+03 4.307097615859992526e-03 1.354292920911217002e-01 7.089729064846073125e-01 8.200717981204818097e-01 7.273635990645509718e-04 2.628045949166921830e-02 3.659460987493729639e-02 3.709706362515696049e-02 3.904461826874980508e-03 1.328131038075230363e-01 6.984536259880304021e-01 8.103090386762048514e-01 5.624581153365657005e-03 1.416346211456192272e-01 7.276578124858341656e-01 8.396527037877248301e-01
7.000000000000000000e+02 2.700000000000000000e+03 7.303656272525953577e-03 4.722796703930745577e-02 3.097897398172305694e-01 3.488090583805152911e-01 7.063862469956281968e-03 2.043966703352755043e-02 3.646755286514828664e-02 3.749293363580822463e-02 1.709685780625032131e-03 4.372534098697040961e-02 2.903356797605589623e-01 3.286870164254934723e-01 2.522501758344407319e-02 6.437917325120857959e-02 3.432408168069365217e-01 3.853256431448228714e-01
7.000000000000000000e+02 3.000000000000000000e+03 1.209140739910233384e-03 1.567255024035337646e-02 1.281161583372930068e-01 1.428448906270972651e-01 2.699574390643312994e-03 1.034182943965301742e-02 2.541274932289101091e-02 2.617490342816655019e-02 4.554934836044123320e-04 1.353495463810906047e-02 1.099420744980150744e-01 1.228050285825942056e-01 9.303830062537377099e-03 3.150655941188937326e-02 1.698492472908018636e-01 1.876072141456723574e-01
9.000000000000000000e+02 2.000000000000000000e+03 5.055843060252038570e-03 1.446339803806170055e-01 6.521472684890388116e-01 7.848619126049383166e-01 4.008700781601148302e-04 4.777512145092079228e-03 1.469414280819778158e-02 1.675559864998260942e-02 4.617196504219231966e-03 1.393254249909050002e-01 6.312797052828805766e-01 7.619215730131557729e-01 5.690528970372484008e-03 1.512769482872893811e-01 6.753545399171780872e-01 8.136381353560032670e-01
9.000000000000000000e+02 2.200000000000000000e+03 5.621082122660922553e-03 1.198296224789152931e-01 6.227597139615934640e-01 7.295681612806045324e-01 6.294942981285182653e-04 4.824687714287269336e-03 1.702321135347118278e-02 1.905214304329374761e-02 5.067495042900761922e-03 1.154942116094201943e-01 6.105765616212485147e-01 7.138159671903886450e-01 6.550559071027332522e-03 1.255285745162990352e-01 6.446230580940525146e-01 7.513410457223325123e-01
9.000000000000000000e+02 2.300000000000000000e+03 4.053491907339527509e-03 1.019175326472852861e-01 5.754939267745402542e-01 6.633946884816097622e-01 5.862169626428041791e-03 4.236857117662445014e-03 1.944620923605499055e-02 2.008435342743779967e-02 3.441906035130175897e-03 9.923996777182506057e-02 5.665414634466251487e-01 6.536178066758544514e-01 2.123812738883192053e-02 1.064951567426867252e-01 5.911561259223402365e-01 6.827951472339850447e-01
