# FPR	mN=200GeV-mean	mN=200GeV-std	mN=200GeV-min	mN=200GeV-max	mN=300GeV-mean	mN=300GeV-std	mN=300GeV-min	mN=300GeV-max	mN=500GeV-mean	mN=500GeV-std	mN=500GeV-min	mN=500GeV-max	mN=700GeV-mean	mN=700GeV-std	mN=700GeV-min	mN=700GeV-max	mN=900GeV-mean	mN=900GeV-std	mN=900GeV-min	mN=900GeV-max	mN=1100GeV-mean	mN=1100GeV-std	mN=1100GeV-min	mN=1100GeV-max
4.008016032064128098e-02 6.511646831451531892e-01 7.138648575573131733e-03 6.430678466076695798e-01 6.657511951988607235e-01 6.400467907639100229e-01 7.324061353466400012e-03 6.293357745905807654e-01 6.542569423252975191e-01 6.209541247075576198e-01 6.430092452682666625e-03 6.117383785983114830e-01 6.346251652934594700e-01 5.750788322652832241e-01 8.558943501460598152e-03 5.634218289085545228e-01 5.946495778659343090e-01 4.956667683857186590e-01 8.175257091260620598e-03 4.846912826772454275e-01 5.119519886074661574e-01 3.580612348692910341e-01 9.196263044790280519e-03 3.432000813752416057e-01 3.703590682534838585e-01
4.208416833667334017e-02 6.577865934289491845e-01 7.000022549261060954e-03 6.509002136100091596e-01 6.727698097853728187e-01 6.469229986776523500e-01 7.137670162739374533e-03 6.372698606448987668e-01 6.619875902756586772e-01 6.280744583460482477e-01 5.906225461040318092e-03 6.199776218085647495e-01 6.401179941002950180e-01 5.834401383379106409e-01 7.594783383091309459e-03 5.743057674702471971e-01 6.022785067643169343e-01 5.042315125623029193e-01 6.689905145492083122e-03 4.952700640830027257e-01 5.187671650900214093e-01 3.667480419082493892e-01 8.694123203666203475e-03 3.532702675211066845e-01 3.783948733597802816e-01
4.408817635270540630e-02 6.655070694741124226e-01 7.632617017844585579e-03 6.569016376767368159e-01 6.813142101515613502e-01 6.549181161631574266e-01 7.807260281767796489e-03 6.436781609195402210e-01 6.708371477977824737e-01 6.361407791679380974e-01 6.207937992765219168e-03 6.281151459668395942e-01 6.480520801546129084e-01 5.922795239548368507e-01 8.098018487936909857e-03 5.812226630047807596e-01 6.117383785983114830e-01 5.146475434848947206e-01 7.228532582205376977e-03 5.050350930729325949e-01 5.311768894313905198e-01 3.778761061946902533e-01 8.933394303587754645e-03 3.640524870308208816e-01 3.910080358051062910e-01
4.609218436873747243e-02 6.718746821279626413e-01 8.104372507976468493e-03 6.616824331197233011e-01 6.882311056860950238e-01 6.611433221442376551e-01 8.354602550056322574e-03 6.485606754145051278e-01 6.779574814362729906e-01 6.429559556504933493e-01 7.290134272075110902e-03 6.324890652019122816e-01 6.564947614688231292e-01 5.994914047401078694e-01 8.487563503988188041e-03 5.870206489675515726e-01 6.202827789645000145e-01 5.232326314718747096e-01 7.888238699838935608e-03 5.118502695554877358e-01 5.419591089411046614e-01 3.865934289492422016e-01 8.556162617653529853e-03 3.712745397212898202e-01 3.985352456515105501e-01
4.809619238476953162e-02 6.775404333231613840e-01 8.025942606699408913e-03 6.681924524463431769e-01 6.939273725968874151e-01 6.679279829111993694e-01 8.101997517912067071e-03 6.567999186247583943e-01 6.835520292950869603e-01 6.499949140474010623e-01 6.629624563286735592e-03 6.401179941002950180e-01 6.623944664835723639e-01 6.071203336384904947e-01 8.213484349615298580e-03 5.959719255416539019e-01 6.270979554470552664e-01 5.311565456209947911e-01 8.180615234338559430e-03 5.192757603499135177e-01 5.506052283592717256e-01 3.949445631166717541e-01 8.200353775007079848e-03 3.806326925033058917e-01 4.071813650696775588e-01
5.010020040080159776e-02 6.832265283287558555e-01 7.948652413755058488e-03 6.736852812531787249e-01 7.001322347675719149e-01 6.743464550910384103e-01 7.794129018028156559e-03 6.643271284711625979e-01 6.905706438815990555e-01 6.571355914962871969e-01 6.790240058088362583e-03 6.468314515308717372e-01 6.703285525378903653e-01 6.143220425185635936e-01 8.640876305509463673e-03 6.025836639202523104e-01 6.353371986573085328e-01 5.391821788220934053e-01 8.348407998777587075e-03 5.279218797680805819e-01 5.597599430373308982e-01 4.037636049232021240e-01 9.134257594074782216e-03 3.882616214016885170e-01 4.179635845793917004e-01
5.210420841683366389e-02 6.900925643373003737e-01 7.521028563277901667e-03 6.797884243718848030e-01 7.067439731461703234e-01 6.816193673074966153e-01 7.464542970684223330e-03 6.715491811616315365e-01 6.973858203641541964e-01 6.637981894008748718e-01 7.052263374612380634e-03 6.530363137015563479e-01 6.784660766961652101e-01 6.214627199674499503e-01 8.115268110382397801e-03 6.106194690265486225e-01 6.415420608279930326e-01 5.475638287051165509e-01 8.307707026380681606e-03 5.381955040179025040e-01 5.688129386634116491e-01 4.140067134574305641e-01 8.898928919289783579e-03 4.000610314311870419e-01 4.299664327128471242e-01
5.410821643286573002e-02 6.949140474010782054e-01 7.764842277566860219e-03 6.854846912826771943e-01 7.135591496287254643e-01 6.867561794324077429e-01 7.620685201169444256e-03 6.760248194486827567e-01 7.023700539110975249e-01 6.690977520089512742e-01 7.817484708468300930e-03 6.590377377682840043e-01 6.866036008544400548e-01 6.268334859119113478e-01 7.998791985998229132e-03 6.144847930017292015e-01 6.466280134269148938e-01 5.541959108941104661e-01 8.775006130028630350e-03 5.429762994608889892e-01 5.764418675617942744e-01 4.211880785271081562e-01 9.241560739560847684e-03 4.061641745498931755e-01 4.382056759231003906e-01
5.611222444889778921e-02 7.003458447767266781e-01 7.610658623011604292e-03 6.894517343098361950e-01 7.184416641236903711e-01 6.924727901535958630e-01 7.509739256116742916e-03 6.808056148916692418e-01 7.065405350422133690e-01 6.746516122469738974e-01 7.678036770732749386e-03 6.630047807954430050e-01 6.909775200895127423e-01 6.330078323670023099e-01 8.261246678337453783e-03 6.221137219001119378e-01 6.534431899094700347e-01 5.611840097650289128e-01 8.571482527177506569e-03 5.497914759434442411e-01 5.832570440443495263e-01 4.292035398230088505e-01 7.872062339872856404e-03 4.152171701759739819e-01 4.455294476655477509e-01
5.811623246492985534e-02 7.056047197640118451e-01 7.942271519688022530e-03 6.941308107008442585e-01 7.249516834503102469e-01 6.977316651408809189e-01 7.503005784056170774e-03 6.867053199064184765e-01 7.136608686807038859e-01 6.802766758213814047e-01 7.808790824170917626e-03 6.691079239141490831e-01 6.981995727799816809e-01 6.387854745193773942e-01 8.510359604830614738e-03 6.297426507984945632e-01 6.607669616519173950e-01 5.683755467399043138e-01 9.051401125239874612e-03 5.575221238938052881e-01 5.924117587224086989e-01 4.363950767978842515e-01 8.804170308116426522e-03 4.226426609703997639e-01 4.555996338114128852e-01
