# bkg	0sq	1sq	2sq	bkg-weight	0sq-weight	1sq-weight	2sq-weight
3.281149268150329590e-01 1.852347254753112793e-01 9.423191547393798828e-01 9.877699613571166992e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
5.443019419908523560e-02 2.482698708772659302e-01 8.642622232437133789e-01 9.348176717758178711e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
2.471303641796112061e-01 9.975771307945251465e-01 7.464763522148132324e-01 9.982010126113891602e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
2.638398110866546631e-01 9.738546013832092285e-01 7.362761497497558594e-01 9.983793497085571289e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
4.172218143939971924e-01 9.981466531753540039e-01 1.547988206148147583e-01 9.970434308052062988e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
1.172820776700973511e-01 9.992805123329162598e-01 3.715201914310455322e-01 9.991365075111389160e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
1.888558864593505859e-01 5.266476869583129883e-01 9.937713742256164551e-01 9.628787040710449219e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.759807050228118896e-01 9.762670993804931641e-01 9.545104503631591797e-01 7.384628653526306152e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.152053356170654297e-01 9.758446812629699707e-01 9.940705895423889160e-01 9.924178123474121094e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
1.859583891928195953e-02 8.241649270057678223e-01 4.768020212650299072e-01 9.804370999336242676e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
