# FPR	msq=2.0TeV-mean	msq=2.0TeV-std	msq=2.0TeV-min	msq=2.0TeV-max	msq=2.2TeV-mean	msq=2.2TeV-std	msq=2.2TeV-min	msq=2.2TeV-max	msq=2.3TeV-mean	msq=2.3TeV-std	msq=2.3TeV-min	msq=2.3TeV-max	msq=2.7TeV-mean	msq=2.7TeV-std	msq=2.7TeV-min	msq=2.7TeV-max	msq=3.0TeV-mean	msq=3.0TeV-std	msq=3.0TeV-min	msq=3.0TeV-max
2.004008016032064049e-02 4.460685586410335079e-01 5.387087472959944251e-03 4.377987997151866484e-01 4.548876004475638224e-01 5.261417963584580360e-01 6.277186459725039858e-03 5.110365171396602513e-01 5.336181466788729733e-01 5.565456209948123067e-01 3.176892974880091754e-03 5.516224188790560534e-01 5.612857288170074455e-01 6.697589258468110707e-01 1.138537491043292542e-02 6.534431899094700347e-01 6.889431390499440866e-01 6.759434442070999527e-01 2.711433093206482708e-02 6.354389177092869545e-01 7.118299257450920736e-01
2.204408817635270315e-02 4.634421727189502183e-01 7.612969438979844475e-03 4.549893194995422441e-01 4.806225205981080051e-01 5.429661275556912914e-01 8.736292835302703411e-03 5.265995320923608780e-01 5.607771335571152260e-01 5.715288373512359410e-01 6.519873847955831234e-03 5.637269860644898989e-01 5.853931441358966037e-01 6.842538907537381032e-01 1.446074691658000809e-02 6.643271284711625979e-01 7.133557115247686209e-01 6.921472891872646471e-01 2.911508637749060657e-02 6.466280134269148938e-01 7.352253077001322801e-01
2.404809619238476581e-02 4.777845590479096738e-01 8.324627803015426097e-03 4.675007628928898318e-01 4.934391211473909133e-01 5.572008629200216889e-01 8.137511880539351553e-03 5.448072423965009126e-01 5.726189435120877524e-01 5.849760960227851081e-01 6.593944899809319089e-03 5.755263960939883683e-01 5.971925541653951841e-01 6.960838164988303323e-01 1.405216950033390429e-02 6.732784050452649272e-01 7.220018309429355741e-01 7.054216254704506195e-01 2.778852055778532198e-02 6.548672566371681603e-01 7.437697080663208116e-01
2.605210420841683194e-02 4.915674905909876991e-01 8.288473823292679885e-03 4.809276777540433256e-01 5.103244837758111885e-01 5.707150849354085675e-01 8.001229939286699094e-03 5.618960431288780866e-01 5.874275251754653704e-01 5.973654765537584899e-01 6.348450565383106925e-03 5.905808157867968866e-01 6.102125928186349357e-01 7.079849455803071123e-01 1.346199293696408346e-02 6.893500152578577733e-01 7.349201505441969040e-01 7.177906621910283835e-01 2.543684979067243820e-02 6.729732478893296621e-01 7.568914657715389849e-01
2.805611222444889460e-02 5.040484182687416936e-01 8.258691293235108366e-03 4.884548876004475848e-01 5.196826365578273155e-01 5.827077611636659604e-01 9.002705019184603294e-03 5.705421625470450397e-01 5.977011494252874035e-01 6.084325094090121677e-01 6.456916786406959562e-03 5.980063065812226686e-01 6.191638693927372650e-01 7.182890855457226831e-01 1.173207014565139615e-02 7.013528633913131971e-01 7.408198555589461387e-01 7.298545417556707715e-01 2.320437879448736598e-02 6.924015868172108679e-01 7.647238327738785646e-01
3.006012024048096073e-02 5.175058488454887806e-01 7.727327984197833455e-03 5.023903977214931871e-01 5.301596989116061920e-01 5.947004373919234643e-01 8.294220399168867816e-03 5.836639202522632131e-01 6.066524259993897328e-01 6.198148713253992526e-01 7.358893621309832607e-03 6.100091547146780924e-01 6.335062557216967205e-01 7.288170074254907149e-01 1.142708407292735394e-02 7.127453972128979798e-01 7.494659749771132029e-01 7.408910588953311338e-01 2.246407401859433842e-02 7.043027158986878700e-01 7.763198046994201906e-01
3.206412825651302340e-02 5.296612755569117814e-01 7.848130802170512343e-03 5.155121554267114714e-01 5.436883328247380520e-01 6.064795036110263160e-01 8.748199210508032786e-03 5.942427016580205112e-01 6.202827789645000145e-01 6.294883531685483424e-01 8.315275864641254872e-03 6.181466788729529371e-01 6.440850371274540187e-01 7.380937849659241490e-01 1.166037575195812831e-02 7.225104262028277935e-01 7.594344420709998600e-01 7.504017902553149488e-01 2.167669990430342794e-02 7.128471162648764015e-01 7.852710812735225199e-01
3.406813627254508953e-02 5.404536669718239539e-01 7.079353715538503483e-03 5.268029701963177214e-01 5.531482046587326007e-01 6.162547045061540496e-01 7.280299101150902383e-03 6.058386735835622483e-01 6.284203031227748593e-01 6.393957888312482574e-01 6.880367205783577758e-03 6.319804699420201732e-01 6.511036517139660029e-01 7.462211372190010739e-01 1.098937255646938865e-02 7.285118502695554499e-01 7.675719662292747048e-01 7.589970501474925246e-01 1.987388545192850936e-02 7.224087071508493718e-01 7.891364052487030989e-01
3.607214428857714872e-02 5.498830230902247429e-01 7.670378699662899064e-03 5.376869087580103956e-01 5.654562099481232895e-01 6.243413691384397390e-01 8.175130528321850748e-03 6.148916692096429992e-01 6.388973654765537358e-01 6.470348896348285805e-01 7.646675185569560065e-03 6.394059607364459552e-01 6.607669616519173950e-01 7.527820160716102160e-01 1.124519646506739502e-02 7.329874885566066700e-01 7.739802665039161589e-01 7.663106499847420761e-01 1.949931675124014913e-02 7.288170074254908259e-01 7.965618960431288809e-01
3.807615230460921485e-02 5.594039263554064778e-01 8.800579303483236152e-03 5.455192757603498643e-01 5.788831248092767279e-01 6.320923608991964038e-01 7.835332145901105841e-03 6.232326314718746874e-01 6.465262943749364721e-01 6.548163971111790049e-01 7.598522118074628982e-03 6.463228562709795177e-01 6.708371477977824737e-01 7.589055030007121339e-01 1.139024491297947229e-02 7.389889126233343264e-01 7.813040382463635192e-01 7.731258264672973279e-01 1.887288393630852726e-02 7.372596887397009358e-01 8.032753534737056000e-01
4.008016032064128098e-02 5.679686705319906270e-01 8.422441924899269280e-03 5.563014952700641169e-01 5.863086156037026209e-01 6.400467907639100229e-01 7.324061353466400012e-03 6.293357745905807654e-01 6.542569423252975191e-01 6.619672464652628374e-01 7.660572491205391507e-03 6.526294374936425502e-01 6.781609195402298340e-01 7.647848642050655288e-01 1.132340945732788172e-02 7.447868985861051394e-01 7.857796765334147393e-01 7.793917200691689029e-01 1.842793283071547661e-02 7.460075272098464216e-01 8.089716203844979914e-01
4.208416833667334017e-02 5.760044756382870501e-01 7.864935253671243715e-03 5.643373003763605400e-01 5.933272301902146051e-01 6.469229986776523500e-01 7.137670162739374533e-03 6.372698606448987668e-01 6.619875902756586772e-01 6.685789848438613570e-01 7.657465362086244252e-03 6.597497711321330671e-01 6.855864103346557270e-01 7.699013325195809276e-01 1.115551966558564478e-02 7.493642559251347812e-01 7.899501576645305834e-01 7.846200793408605323e-01 1.808141341980565656e-02 7.501780083409622657e-01 8.128369443596785704e-01
4.408817635270540630e-02 5.854846912826772165e-01 8.764434867328637496e-03 5.745092055742040404e-01 6.053300783236700289e-01 6.549181161631574266e-01 7.807260281767796489e-03 6.436781609195402210e-01 6.708371477977824737e-01 6.761468823110567961e-01 8.317086135948883671e-03 6.660563523547960996e-01 6.940290916488658368e-01 7.768182280541146012e-01 1.103953548588266532e-02 7.558742752517546570e-01 7.967653341470857242e-01 7.911707862882717546e-01 1.774512112097000049e-02 7.565863086156037198e-01 8.188383684264062268e-01
4.609218436873747243e-02 5.932560268538298320e-01 9.195430429076341394e-03 5.823415725765436202e-01 6.145865120537076232e-01 6.611433221442376551e-01 8.354602550056322574e-03 6.485606754145051278e-01 6.779574814362729906e-01 6.824941511545112860e-01 8.798339326271054084e-03 6.703285525378903653e-01 7.014545824432916188e-01 7.819855558946191554e-01 1.146279845215388178e-02 7.593327230190214383e-01 8.022581629539212722e-01 7.968568812938664481e-01 1.826084774145516135e-02 7.604516325907842988e-01 8.251449496490692592e-01
4.809619238476953162e-02 6.006611738378598853e-01 9.440103464058000396e-03 5.892584681110771827e-01 6.222154409520903595e-01 6.679279829111993694e-01 8.101997517912067071e-03 6.567999186247583943e-01 6.835520292950869603e-01 6.881700742549079486e-01 8.806684902436929391e-03 6.762282575526396000e-01 7.067439731461703234e-01 7.863289594140983052e-01 1.104457203668698234e-02 7.649272708778354080e-01 8.050045773573389907e-01 8.015664734004680492e-01 1.747809199700024393e-02 7.662496185535551119e-01 8.290102736242498382e-01
5.010020040080159776e-02 6.081171803478792048e-01 9.189932147557040854e-03 5.987183399450717314e-01 6.298443698504729849e-01 6.743464550910384103e-01 7.794129018028156559e-03 6.643271284711625979e-01 6.905706438815990555e-01 6.939273725968874151e-01 8.831182248123297870e-03 6.823314006713457891e-01 7.136608686807038859e-01 7.914555996338115129e-01 1.020458588987199072e-02 7.712338521004984404e-01 8.095819346963686325e-01 8.067338012409723813e-01 1.692600134575066723e-02 7.725561997762180333e-01 8.339945071711931668e-01
5.210420841683366389e-02 6.156443901942834085e-01 8.714443997994501812e-03 6.080764927270877473e-01 6.368629844369850801e-01 6.816193673074966153e-01 7.464542970684223330e-03 6.715491811616315365e-01 6.973858203641541964e-01 7.003356728715288693e-01 8.724150805570764569e-03 6.895534533618146167e-01 7.212897975790865113e-01 7.962363950767979981e-01 9.623052409248033026e-03 7.788627809988810657e-01 8.151764825551826021e-01 8.121859424270165828e-01 1.577171531910757929e-02 7.799816905706439263e-01 8.386735835622012303e-01
5.410821643286573002e-02 6.217170175973959489e-01 9.222104163562847359e-03 6.124504119621605458e-01 6.447970704913029705e-01 6.867561794324077429e-01 7.620685201169444256e-03 6.760248194486827567e-01 7.023700539110975249e-01 7.054724849964397748e-01 9.187122646219590683e-03 6.945376869087580562e-01 7.272912216458142787e-01 8.000101719051979643e-01 9.985417966577744830e-03 7.830332621299969098e-01 8.196521208422337113e-01 8.164581426101108486e-01 1.561022608253120371e-02 7.856779574814363176e-01 8.424371884854032766e-01
5.611222444889778921e-02 6.283185840707964376e-01 8.551057948500468200e-03 6.201810599125215928e-01 6.498830230902248317e-01 6.924727901535958630e-01 7.509739256116742916e-03 6.808056148916692418e-01 7.065405350422133690e-01 7.109551418980775139e-01 8.899829964507846580e-03 6.978944156240464158e-01 7.315634218289085444e-01 8.041196216051267331e-01 1.001341794384059264e-02 7.854745193774793632e-01 8.230088495575220708e-01 8.209439528023597665e-01 1.518860287181989649e-02 7.895432814566167856e-01 8.453870409927779495e-01
