# FPR	msq=2.0TeV-mean	msq=2.0TeV-std	msq=2.0TeV-min	msq=2.0TeV-max	msq=2.2TeV-mean	msq=2.2TeV-std	msq=2.2TeV-min	msq=2.2TeV-max	msq=2.3TeV-mean	msq=2.3TeV-std	msq=2.3TeV-min	msq=2.3TeV-max	msq=2.7TeV-mean	msq=2.7TeV-std	msq=2.7TeV-min	msq=2.7TeV-max	msq=3.0TeV-mean	msq=3.0TeV-std	msq=3.0TeV-min	msq=3.0TeV-max
2.004008016032064049e-02 4.709083511341674577e-01 7.501909386174904736e-03 4.600752720984640498e-01 4.846912826772454275e-01 5.436374732987487857e-01 8.056669054144085726e-03 5.310751703794120981e-01 5.575221238938052881e-01 5.726274031126029618e-01 7.988313908532345201e-03 5.622012002848133516e-01 5.901739395788830889e-01 6.803580510629640976e-01 1.291457067017410566e-02 6.559861662089309098e-01 6.958600345844776491e-01 6.847319702980368961e-01 2.528872290451677010e-02 6.249618553555080780e-01 7.056250635744074629e-01
2.204408817635270315e-02 4.855733438191610629e-01 7.965540494502947391e-03 4.727901535957684809e-01 5.027972739294069848e-01 5.577560777133558911e-01 7.665736993228953328e-03 5.472484996439833660e-01 5.750178008340962599e-01 5.864611941816701979e-01 7.411857680223315169e-03 5.777642152375139784e-01 6.043128878038857010e-01 6.942427016580203780e-01 1.316375408800331791e-02 6.664632285627097863e-01 7.108127352253077458e-01 6.979859627708270287e-01 2.628281144311746947e-02 6.339131319296104072e-01 7.203743261112806051e-01
2.404809619238476581e-02 5.021259281863492685e-01 8.865934335589900281e-03 4.900823924321025538e-01 5.208015461295900650e-01 5.729223883633404180e-01 9.200059491999994579e-03 5.597599430373308982e-01 5.908859729427321517e-01 6.010375343301801454e-01 8.417004164387268186e-03 5.905808157867968866e-01 6.196724646526294844e-01 7.079849455803072233e-01 1.352961282799008784e-02 6.801953005797986007e-01 7.271895025938358570e-01 7.126436781609195581e-01 2.648190612229802191e-02 6.477469229986776433e-01 7.372596887397009358e-01
2.605210420841683194e-02 5.160207506866034688e-01 1.097991086782022958e-02 5.006611738378597964e-01 5.362628420303122700e-01 5.860848336893500488e-01 1.100596381991673228e-02 5.664734004679076174e-01 6.067541450513681545e-01 6.135082901027362201e-01 1.005807532365711812e-02 5.986166208930933097e-01 6.344217271895026267e-01 7.191740412979351627e-01 1.177955811443745504e-02 7.002339538195504476e-01 7.362424982199166079e-01 7.248194486827382876e-01 2.322279818216474792e-02 6.695148001220628808e-01 7.483470654053504534e-01
2.805611222444889460e-02 5.287864917098972217e-01 1.039867754070430625e-02 5.149018411148408303e-01 5.489777235276167566e-01 5.987793713762588066e-01 1.064694828217294977e-02 5.823415725765436202e-01 6.183501169769097805e-01 6.252568406062455342e-01 9.851158029310237013e-03 6.124504119621605458e-01 6.456108229071304550e-01 7.299257450920558776e-01 1.225437666645507948e-02 7.070491303021055884e-01 7.467195605736954844e-01 7.354592615196826610e-01 2.322141695640543915e-02 6.783643576441867884e-01 7.592310039670430166e-01
3.006012024048096073e-02 5.417251551215542804e-01 1.100316665103188117e-02 5.253789034686197068e-01 5.599633811412877415e-01 6.101210456718543229e-01 1.123859277011725506e-02 5.950564540738479957e-01 6.289288983826670787e-01 6.363543891770928607e-01 1.030429560543510287e-02 6.221137219001119378e-01 6.555792900010172231e-01 7.395687112196114299e-01 1.353383740978441989e-02 7.127453972128979798e-01 7.581120943952802671e-01 7.450310243108534403e-01 2.423908449973738791e-02 6.847726579188282425e-01 7.718441664123690815e-01
3.206412825651302340e-02 5.516834503102430176e-01 1.035479964850975765e-02 5.376869087580103956e-01 5.689146577153900708e-01 6.195504017902553340e-01 1.084840246465524141e-02 6.068558641033465761e-01 6.400162750483165963e-01 6.454684162343606868e-01 1.038194296872715743e-02 6.319804699420201732e-01 6.626996236395076290e-01 7.469840301088395140e-01 1.291849580629139162e-02 7.203743261112806051e-01 7.663513376055335335e-01 7.534431899094700125e-01 2.371417558190005992e-02 6.953514393245855407e-01 7.799816905706439263e-01
3.406813627254508953e-02 5.619570745600650508e-01 1.014126195003892637e-02 5.490794425795951783e-01 5.792900010171905256e-01 6.282372088292137446e-01 1.043359840516882089e-02 6.126538500661173892e-01 6.479503611026344867e-01 6.536873156342182245e-01 9.423840608477800432e-03 6.402197131522734397e-01 6.705319906418472087e-01 7.542264266097040704e-01 1.167358969168473190e-02 7.316651408808869661e-01 7.738785474519377372e-01 7.614281354897770582e-01 2.192522016653726188e-02 7.075577255619978079e-01 7.867968670531990671e-01
3.607214428857714872e-02 5.720984640423151246e-01 1.012562454918010044e-02 5.568100905299562253e-01 5.884447156952496982e-01 6.374732987488556102e-01 1.103077344052566001e-02 6.187569931848234672e-01 6.575119519886074571e-01 6.624758417251550568e-01 9.740500846250813374e-03 6.451022276472383465e-01 6.789746719560573185e-01 7.623296231360086050e-01 1.231694578242361997e-02 7.387854745193774830e-01 7.816091954022988952e-01 7.693622215440951706e-01 2.219672868888587086e-02 7.145763401485097921e-01 7.943240768996032708e-01
3.807615230460921485e-02 5.806225205981079274e-01 1.023947145765487579e-02 5.636252670125114772e-01 5.984131827891363553e-01 6.456820262435153390e-01 1.102777615226365956e-02 6.276065507069473748e-01 6.656494761468823018e-01 6.701352863391314418e-01 9.645996836121261200e-03 6.530363137015563479e-01 6.848743769708066642e-01 7.685281253178719574e-01 1.215482659676279248e-02 7.456006510019326239e-01 7.881192147289187711e-01 7.759637880174956592e-01 2.210662990625461219e-02 7.227138643067846369e-01 8.016478486420506311e-01
