# bkg-pred	mb=200GeV-pred	mb=300GeV-pred	mb=500GeV-pred	mb=700GeV-pred	mb=900GeV-pred	mb=1100GeV-pred
5.110718011856079102e-01 7.011725306510925293e-01 9.940665960311889648e-01 9.788780212402343750e-01 8.891339302062988281e-01 4.736065268516540527e-01 8.336837291717529297e-01
4.059341177344322205e-02 9.978912472724914551e-01 3.569037616252899170e-01 9.825215935707092285e-01 9.948725104331970215e-01 6.205935478210449219e-01 1.430728584527969360e-01
8.765039443969726562e-01 9.164662361145019531e-01 8.539168834686279297e-01 2.550503909587860107e-01 9.084730744361877441e-01 4.244479835033416748e-01 7.200493216514587402e-01
2.852075099945068359e-01 5.439314842224121094e-01 9.982979893684387207e-01 9.999272823333740234e-01 9.735026359558105469e-01 2.509151399135589600e-01 7.541003823280334473e-01
2.019489705562591553e-01 3.627253174781799316e-01 9.346287250518798828e-01 9.080410003662109375e-01 9.553512930870056152e-01 7.802334427833557129e-01 8.829164505004882812e-01
7.683784961700439453e-01 9.978685379028320312e-01 9.847984910011291504e-01 9.969183206558227539e-01 9.428769946098327637e-01 5.981021523475646973e-01 3.768526017665863037e-01
4.273069500923156738e-01 3.093734383583068848e-01 9.940494298934936523e-01 9.489433765411376953e-01 9.396309852600097656e-01 7.250462174415588379e-01 9.906948804855346680e-01
2.887926995754241943e-01 5.862414240837097168e-01 4.408585429191589355e-01 9.989269375801086426e-01 9.947690367698669434e-01 4.662077128887176514e-01 9.066519737243652344e-01
1.747496128082275391e-01 9.707646965980529785e-01 8.887549638748168945e-01 5.731686949729919434e-01 9.903573393821716309e-01 9.321195483207702637e-01 8.144757151603698730e-01
3.272749483585357666e-02 9.946952462196350098e-01 7.410476803779602051e-01 6.604378223419189453e-01 4.548227190971374512e-01 9.965372085571289062e-01 9.723550081253051758e-01
4.963575303554534912e-01 6.845843791961669922e-01 9.331327676773071289e-01 7.869379520416259766e-01 9.669204354286193848e-01 9.891201257705688477e-01 6.987611055374145508e-01
3.284122049808502197e-01 5.317518115043640137e-01 9.949480295181274414e-01 9.985804557800292969e-01 9.954351782798767090e-01 9.929220676422119141e-01 1.701586097478866577e-01
