# FPR	msq=2.0TeV-mean	msq=2.0TeV-std	msq=2.0TeV-min	msq=2.0TeV-max	msq=2.2TeV-mean	msq=2.2TeV-std	msq=2.2TeV-min	msq=2.2TeV-max	msq=2.3TeV-mean	msq=2.3TeV-std	msq=2.3TeV-min	msq=2.3TeV-max	msq=2.7TeV-mean	msq=2.7TeV-std	msq=2.7TeV-min	msq=2.7TeV-max	msq=3.0TeV-mean	msq=3.0TeV-std	msq=3.0TeV-min	msq=3.0TeV-max
2.004008016032064049e-02 3.255640255640256386e-01 6.850709443144755231e-03 3.093093093093093326e-01 3.339493339493339596e-01 3.336644336644336573e-01 5.576320909047353946e-03 3.248633248633248649e-01 3.417263417263417535e-01 3.169323169323169376e-01 3.800872306885112219e-03 3.122353122353122568e-01 3.218603218603218741e-01 1.877954877954877699e-01 5.062419823183702920e-03 1.784091784091784150e-01 1.948101948101948200e-01 1.005390005390005281e-01 3.244993736505232072e-03 9.478709478709478053e-02 1.054131054131054179e-01
2.204408817635270315e-02 3.376915376915377576e-01 7.377250355490938896e-03 3.202433202433202508e-01 3.461923461923461787e-01 3.438515438515438727e-01 5.620604784395068394e-03 3.344883344883344822e-01 3.542773542773542950e-01 3.258181258181257478e-01 4.308730565990360681e-03 3.190883190883190834e-01 3.322553322553322697e-01 1.938553938553938261e-01 5.563456718989583626e-03 1.829521829521829623e-01 2.012012012012011908e-01 1.048972048972048876e-01 3.238226314235747531e-03 9.933009933009932790e-02 1.100331100331100320e-01
2.404809619238476581e-02 3.490798490798490694e-01 6.707343186900477892e-03 3.321013321013320807e-01 3.558173558173557960e-01 3.530684530684530809e-01 4.383469050829785774e-03 3.451143451143451335e-01 3.607453607453607325e-01 3.340648340648340597e-01 4.223543716670306175e-03 3.263263263263262992e-01 3.398783398783398746e-01 1.994224994224993996e-01 5.541165438695920542e-03 1.880341880341880323e-01 2.057442057442057382e-01 1.093324093324093277e-01 3.543417717628800229e-03 1.034111034111034055e-01 1.141141141141141097e-01
2.605210420841683194e-02 3.617925617925618065e-01 5.900859090017415015e-03 3.476553476553476685e-01 3.689073689073689155e-01 3.642103642103642347e-01 4.180473101539255824e-03 3.570493570493570301e-01 3.711403711403711281e-01 3.435281435281435369e-01 3.952917278554460116e-03 3.357203357203357164e-01 3.491953491953491695e-01 2.063371063371063630e-01 5.542513466729725828e-03 1.938091938091938138e-01 2.126742126742126870e-01 1.144991144991144988e-01 3.499566672306949656e-03 1.078001078001078056e-01 1.185031185031185097e-01
2.805611222444889460e-02 3.736197736197736097e-01 5.652644827402042785e-03 3.622853622853622890e-01 3.826903826903826911e-01 3.737044737044736831e-01 4.349659311837341183e-03 3.674443674443674257e-01 3.798413798413798337e-01 3.518056518056518756e-01 3.740722068797572384e-03 3.448063448063448111e-01 3.572803572803572858e-01 2.125895125895126136e-01 4.786339898928655169e-03 2.020482020482020358e-01 2.186802186802186687e-01 1.196196196196196160e-01 3.325877474127826496e-03 1.134981134981134926e-01 1.238931238931238882e-01
3.006012024048096073e-02 3.830753830753830802e-01 7.309899210604721941e-03 3.702163702163702164e-01 3.933163933163933423e-01 3.821359821359820996e-01 4.865746909875430862e-03 3.744513744513744413e-01 3.890043890043889951e-01 3.592746592746592915e-01 4.600643448673144391e-03 3.518133518133518267e-01 3.679833679833680038e-01 2.181335181335181395e-01 4.705007150277506350e-03 2.074382074382074281e-01 2.242242242242242223e-01 1.241087241087241166e-01 3.293911738298133628e-03 1.170401170401170338e-01 1.288981288981289053e-01
3.206412825651302340e-02 3.925694925694925841e-01 6.443213508798158705e-03 3.829213829213829468e-01 4.027874027874027707e-01 3.903210903210903582e-01 4.287521658915038718e-03 3.849233849233849036e-01 3.973203973203973116e-01 3.664279664279664339e-01 4.451350409597189250e-03 3.597443597443597540e-01 3.749903749903749639e-01 2.235806331998716756e-01 4.142389084410637995e-03 2.145222145222145105e-01 2.289212289212289309e-01 1.291522291522291532e-01 2.245988107475216204e-03 1.246631246631246664e-01 1.321321321321321240e-01
3.406813627254508953e-02 4.022792022792022193e-01 5.562284318333856475e-03 3.963963963963963999e-01 4.114884114884114763e-01 3.984522984522984590e-01 3.712976927262212970e-03 3.937013937013936760e-01 4.045584045584045829e-01 3.736043736043735963e-01 4.026007031470388645e-03 3.690613690613690490e-01 3.828443828443828245e-01 2.291522291522291588e-01 3.562533197497656789e-03 2.209132209132209090e-01 2.337722337722337729e-01 1.341187341187340953e-01 2.479785058964125224e-03 1.302071302071302061e-01 1.394471394471394343e-01
3.607214428857714872e-02 4.106953106953106780e-01 6.633997928083262136e-03 4.020944020944021147e-01 4.224994224994225167e-01 4.060445060445060372e-01 4.430690414824254957e-03 3.992453992453992573e-01 4.141834141834142002e-01 3.804419804419804096e-01 4.481880745232964466e-03 3.752213752213752196e-01 3.889273889273889284e-01 2.343497343497343288e-01 2.750153446024496389e-03 2.276122276122276022e-01 2.378532378532378644e-01 1.387926387926388117e-01 2.254735287712804435e-03 1.362901362901362823e-01 1.443751443751443708e-01
3.807615230460921485e-02 4.188034188034188143e-01 5.547533591626747917e-03 4.101024101024101087e-01 4.275814275814275867e-01 4.132748132748133019e-01 3.782859481931289975e-03 4.074074074074073848e-01 4.203434203434203709e-01 3.866943866943867159e-01 4.109525200844727291e-03 3.814583814583814569e-01 3.955493955493955549e-01 2.394471394471394399e-01 2.528382857763704708e-03 2.343882343882343899e-01 2.441672441672441685e-01 1.431508431508431434e-01 2.824223851339118397e-03 1.396011396011395955e-01 1.503041503041503135e-01
