# FPR	msq=2.0TeV-mean	msq=2.0TeV-std	msq=2.0TeV-min	msq=2.0TeV-max	msq=2.2TeV-mean	msq=2.2TeV-std	msq=2.2TeV-min	msq=2.2TeV-max	msq=2.3TeV-mean	msq=2.3TeV-std	msq=2.3TeV-min	msq=2.3TeV-max	msq=2.7TeV-mean	msq=2.7TeV-std	msq=2.7TeV-min	msq=2.7TeV-max	msq=3.0TeV-mean	msq=3.0TeV-std	msq=3.0TeV-min	msq=3.0TeV-max
4.609218436873747243e-02 4.068284142071035281e-01 7.722728041051417358e-03 3.925295981323995154e-01 4.180423545105886318e-01 3.856928464232116660e-01 6.458524246346076560e-03 3.741037185259296072e-01 3.955310988827747121e-01 3.604635651158912268e-01 4.996828532844225373e-03 3.520927130231782387e-01 3.691845922961480841e-01 2.202101050525262504e-01 4.352910748443482303e-03 2.131899282974820675e-01 2.291979322994830703e-01 1.497415374353843476e-01 5.223696239529489020e-03 1.422377855594463836e-01 1.619976654994163823e-01
4.809619238476953162e-02 4.123061530765382843e-01 7.885514089378530336e-03 3.970318492579623104e-01 4.235451058862764739e-01 3.903535100883774867e-01 6.528477091608744440e-03 3.787727196931799378e-01 4.005336001334000584e-01 3.644572286143071826e-01 4.998615855362855721e-03 3.560947140236784825e-01 3.730198432549607923e-01 2.239036184759046200e-01 4.618140824037551481e-03 2.161914290478572642e-01 2.336168084042020976e-01 1.535100883775220859e-01 5.477783285171379524e-03 1.455727863931965960e-01 1.659162914790728582e-01
5.010020040080159776e-02 4.191595797898949871e-01 7.469973813935084674e-03 4.047023511755877823e-01 4.296314824078705796e-01 3.955977988994497374e-01 6.023901512200576999e-03 3.843588460897115477e-01 4.045356011339003022e-01 3.695597798899449837e-01 4.222638208275944147e-03 3.628480907120226751e-01 3.769384692346173238e-01 2.282474570618642229e-01 3.859678174868583656e-03 2.232783058195764447e-01 2.369518092379523100e-01 1.581707520426880176e-01 4.753612025522640366e-03 1.519092879773220051e-01 1.695014173753543463e-01
5.210420841683366389e-02 4.250792062698015572e-01 7.288541127913563365e-03 4.099549774887443765e-01 4.359679839919959887e-01 4.008754377188594731e-01 5.788586655622145194e-03 3.893613473403368386e-01 4.105386026346506401e-01 3.740953810238452637e-01 3.912314552331243311e-03 3.669334667333666866e-01 3.815240953810238311e-01 2.327246956811739320e-01 3.959927313258724754e-03 2.275304318826079641e-01 2.415374353843588451e-01 1.627397031849258102e-01 4.940763215281148736e-03 1.554944138736034653e-01 1.734200433550108500e-01
5.410821643286573002e-02 4.300983825245956460e-01 7.192341231859628384e-03 4.145406036351508838e-01 4.402201100550275359e-01 4.054694013673502684e-01 5.996142302502408851e-03 3.927797231949308188e-01 4.161247290311822500e-01 3.783308320827080129e-01 4.163920830166981807e-03 3.701850925462731312e-01 3.861097215274303940e-01 2.362431215607803670e-01 4.695760817707252816e-03 2.298649324662331295e-01 2.465399366349841637e-01 1.664832416208104071e-01 5.476641051769023938e-03 1.589127897281974455e-01 1.783391695847924008e-01
5.611222444889778921e-02 4.354593963648490940e-01 7.563401216312790575e-03 4.212106053026513086e-01 4.464732366183091772e-01 4.098966149741537501e-01 6.073004697396259567e-03 3.984492246123061410e-01 4.205436051359012772e-01 3.827330331832582422e-01 4.633468798891004527e-03 3.751875937968984220e-01 3.925295981323995154e-01 2.404202101050524898e-01 5.132706052228594613e-03 2.341170585292646211e-01 2.517925629481407301e-01 1.700850425212606376e-01 5.396238494341978192e-03 1.642487910621977520e-01 1.816741704185426132e-01
5.811623246492985534e-02 4.394864098716024792e-01 7.200223548420659099e-03 4.263798565949641350e-01 4.503918625979656531e-01 4.140153410038351356e-01 5.866788070497377418e-03 4.038686009671502153e-01 4.262131065532766550e-01 3.863765215941303843e-01 4.699689517381908099e-03 3.788560947140237056e-01 3.962814740703685112e-01 2.443304985826246778e-01 5.710945491891290110e-03 2.373686843421710935e-01 2.555444388861097260e-01 1.739119559779890023e-01 5.860077856386406228e-03 1.679172919793230079e-01 1.855927963981990891e-01
6.012024048096192147e-02 4.436718359179590010e-01 7.415710133653758036e-03 4.311322327830581780e-01 4.548941137235284482e-01 4.182507920626979403e-01 5.204531662165134444e-03 4.100383525095881443e-01 4.281307320326829813e-01 3.897115224278805967e-01 4.841612658051564107e-03 3.821910955477738625e-01 3.988660997165249245e-01 2.481323995330998733e-01 5.535052818723514706e-03 2.407870601967650459e-01 2.593796898449224342e-01 1.776554944138736269e-01 5.984189485083560127e-03 1.708354177088544368e-01 1.900116725029181164e-01
6.212424849699398066e-02 4.489578122394529691e-01 6.496385595728232723e-03 4.363014840753710044e-01 4.593963648490911877e-01 4.229364682341170689e-01 4.726275416976830068e-03 4.159579789894947699e-01 4.315491078872769615e-01 3.939886609971652853e-01 4.628365114207362921e-03 3.865265966316491775e-01 4.022844755711189046e-01 2.520260130065032356e-01 4.956264562881768261e-03 2.456228114057028566e-01 2.627146906786726466e-01 1.813823578455894536e-01 5.651479709312041445e-03 1.750041687510421884e-01 1.935967983991996044e-01
6.412825651302604679e-02 4.537602134400532949e-01 6.089596458332869125e-03 4.436384859096214606e-01 4.632316158079039514e-01 4.268050692012672620e-01 4.620277765447468321e-03 4.214607303651826120e-01 4.361347340336835243e-01 3.982407870601967215e-01 4.718208562343960237e-03 3.920293480073370196e-01 4.069534767383691798e-01 2.559529764882441105e-01 4.999644840661573476e-03 2.491245622811405769e-01 2.663831915957978747e-01 1.849591462397865427e-01 5.562457478306210429e-03 1.775887943971986016e-01 1.967650491912623090e-01
