# bkg-pred	mh=200GeV-pred	mh=300GeV-pred	mh=500GeV-pred	mh=700GeV-pred	mh=900GeV-pred	mh=1100GeV-pred
9.145332127809524536e-02 8.300320804119110107e-02 9.057739377021789551e-01 9.991186261177062988e-01 9.879682064056396484e-01 9.997754693031311035e-01 9.867206811904907227e-01
8.681429177522659302e-02 1.251622140407562256e-01 9.984283447265625000e-01 9.947828650474548340e-01 9.992886781692504883e-01 9.837500452995300293e-01 9.403291940689086914e-01
6.791321560740470886e-03 9.588241577148437500e-01 9.999997615814208984e-01 8.125089854001998901e-02 4.761969447135925293e-01 9.895701408386230469e-01 1.723220348358154297e-01
4.661231767386198044e-03 7.252172231674194336e-01 3.225626945495605469e-01 9.890666007995605469e-01 9.983161687850952148e-01 9.950097799301147461e-01 8.527944087982177734e-01
6.615235209465026855e-01 9.301144480705261230e-01 9.894868135452270508e-01 5.735718607902526855e-01 1.308016180992126465e-01 4.942562878131866455e-01 7.413474321365356445e-01
8.226337283849716187e-02 9.990528225898742676e-01 9.639762639999389648e-01 9.999452829360961914e-01 5.901297330856323242e-01 7.357929944992065430e-01 3.478303551673889160e-01
7.532863020896911621e-01 9.997143149375915527e-01 9.977719187736511230e-01 9.463398456573486328e-01 8.367959260940551758e-01 8.635250329971313477e-01 9.767989516258239746e-01
1.368229277431964874e-02 9.694638848304748535e-01 9.993510842323303223e-01 9.160485267639160156e-01 9.995884299278259277e-01 1.598572880029678345e-01 9.749007821083068848e-01
3.181994892656803131e-03 8.027553558349609375e-01 5.488089844584465027e-02 9.614400565624237061e-03 9.994576573371887207e-01 6.248241662979125977e-01 6.746737957000732422e-01
7.562966346740722656e-01 9.999910593032836914e-01 8.162748217582702637e-01 4.105198755860328674e-02 9.227996468544006348e-01 9.980260729789733887e-01 8.846256732940673828e-01
5.821133255958557129e-01 9.966948032379150391e-01 1.093004196882247925e-01 4.393995404243469238e-01 9.374629855155944824e-01 5.849082469940185547e-01 9.996162652969360352e-01
6.847558021545410156e-01 5.279697775840759277e-01 9.841187000274658203e-01 8.913116455078125000e-01 3.947669565677642822e-01 4.802498519420623779e-01 2.044655829668045044e-01
7.529341578483581543e-01 8.425802588462829590e-01 2.005566060543060303e-01 9.922820925712585449e-01 9.996393918991088867e-01 9.459701776504516602e-01 9.400419592857360840e-01
7.952642044983804226e-04 1.987780630588531494e-01 9.100744128227233887e-01 9.866670966148376465e-01 9.979136586189270020e-01 2.065083086490631104e-01 9.939198493957519531e-01
2.752837240695953369e-01 7.151266336441040039e-01 7.419773936271667480e-01 4.496831893920898438e-01 9.974154233932495117e-01 9.992179870605468750e-01 9.319728016853332520e-01
2.435171604156494141e-02 9.987660646438598633e-01 9.022190570831298828e-01 5.900813937187194824e-01 9.722557663917541504e-01 9.978463649749755859e-01 1.913090646266937256e-01
1.438956335186958313e-02 9.994083642959594727e-01 9.999725818634033203e-01 9.999449253082275391e-01 8.947868347167968750e-01 8.924865722656250000e-02 9.535338282585144043e-01
7.807814478874206543e-01 9.425675272941589355e-01 7.363943457603454590e-01 7.918629646301269531e-01 3.768095374107360840e-01 4.544835090637207031e-01 4.902660846710205078e-01
8.523979187011718750e-01 9.998419284820556641e-01 8.412335067987442017e-02 5.964573100209236145e-02 1.411209255456924438e-01 9.998388290405273438e-01 9.895986318588256836e-01
1.537242978811264038e-01 9.999481439590454102e-01 7.590463012456893921e-02 1.020148620009422302e-01 9.973387122154235840e-01 9.944505691528320312e-01 9.636950492858886719e-01
1.110734324902296066e-02 1.419037878513336182e-01 9.798625111579895020e-01 9.990186691284179688e-01 7.372373938560485840e-01 8.304385542869567871e-01 2.714981436729431152e-01
8.627936840057373047e-01 1.454507708549499512e-01 8.382977843284606934e-01 9.851775169372558594e-01 9.996356964111328125e-01 5.657622814178466797e-01 6.583118438720703125e-01
2.054513394832611084e-01 9.522181749343872070e-02 9.843839406967163086e-01 6.798841357231140137e-01 3.822314143180847168e-01 5.694224238395690918e-01 3.584188520908355713e-01
4.632922634482383728e-02 8.850406408309936523e-01 8.696969747543334961e-01 9.988629817962646484e-01 9.757256507873535156e-01 9.322505593299865723e-01 1.017680689692497253e-01
3.738299012184143066e-02 1.931954622268676758e-01 4.265200197696685791e-01 9.999538660049438477e-01 9.997690320014953613e-01 8.995994329452514648e-01 5.273257493972778320e-01
2.159975841641426086e-02 9.047848582267761230e-01 9.997764229774475098e-01 9.012301564216613770e-01 9.611586332321166992e-01 9.518018960952758789e-01 9.723172783851623535e-01
7.386770099401473999e-02 9.992771744728088379e-01 9.972557425498962402e-01 1.621326357126235962e-01 9.998322725296020508e-01 8.477482795715332031e-01 7.894821763038635254e-01
5.407490581274032593e-02 9.919752478599548340e-01 2.131414264440536499e-01 9.521081447601318359e-01 9.890924692153930664e-01 6.535083055496215820e-01 9.616740942001342773e-01
9.517388790845870972e-02 1.598203182220458984e-01 9.959329962730407715e-01 7.336065769195556641e-01 9.924042820930480957e-01 9.987587928771972656e-01 1.919386088848114014e-01
1.540369838476181030e-01 9.374966025352478027e-01 9.956362843513488770e-01 5.398513078689575195e-01 9.729641675949096680e-01 2.720575928688049316e-01 9.924621582031250000e-01
3.906193375587463379e-01 4.779615104198455811e-01 4.222584888339042664e-02 6.127636432647705078e-01 1.621933728456497192e-01 9.814900755882263184e-01 7.039149999618530273e-01
1.088521792553365231e-03 9.645433165132999420e-03 9.913985729217529297e-01 9.240696430206298828e-01 9.843267798423767090e-01 9.377495646476745605e-01 9.892673045396804810e-02
6.405356526374816895e-02 2.381564378738403320e-01 2.277558147907257080e-01 9.943065047264099121e-01 9.932388067245483398e-01 9.994199275970458984e-01 9.347705841064453125e-01
9.924238920211791992e-01 9.692098498344421387e-01 9.999790191650390625e-01 9.984442591667175293e-01 9.882540702819824219e-01 9.991155266761779785e-01 9.818321466445922852e-01
7.279266715049743652e-01 9.971185922622680664e-01 9.767157435417175293e-01 9.989572763442993164e-01 2.932710051536560059e-01 3.126480579376220703e-01 2.735402584075927734e-01
6.850680708885192871e-01 9.737979173660278320e-01 9.998306035995483398e-01 9.961445331573486328e-01 7.859296798706054688e-01 1.161998435854911804e-01 8.958687782287597656e-01
1.525420099496841431e-01 9.987558126449584961e-01 9.721101522445678711e-01 9.989810585975646973e-01 9.986520409584045410e-01 1.266321986913681030e-01 9.656369686126708984e-01
1.114534866064786911e-02 9.988478422164916992e-01 9.645760059356689453e-01 9.998306035995483398e-01 2.163108140230178833e-01 9.632695913314819336e-01 7.075195908546447754e-01
7.609793543815612793e-01 1.136553660035133362e-01 9.857302904129028320e-01 1.943610794842243195e-02 8.689457774162292480e-01 9.059707522392272949e-01 9.255804419517517090e-01
2.992555201053619385e-01 9.976674914360046387e-01 9.999876022338867188e-01 9.999173879623413086e-01 9.999016523361206055e-01 2.130303084850311279e-01 7.493841648101806641e-01
7.295395433902740479e-02 5.671280026435852051e-01 1.169681474566459656e-01 4.123156368732452393e-01 3.733927384018898010e-02 9.990224838256835938e-01 5.712245777249336243e-02
3.465772569179534912e-01 9.981464147567749023e-01 8.626813888549804688e-01 8.591355681419372559e-01 1.599500775337219238e-01 6.236001253128051758e-01 2.927460968494415283e-01
7.877557277679443359e-01 9.722193479537963867e-01 9.999996423721313477e-01 9.428280591964721680e-01 9.974203109741210938e-01 5.096374750137329102e-01 6.669636964797973633e-01
2.377004921436309814e-01 3.814098238945007324e-01 9.649731516838073730e-01 3.395969569683074951e-01 9.988514184951782227e-01 8.519472479820251465e-01 9.834634661674499512e-01
4.133005440235137939e-02 8.184387683868408203e-01 4.558656215667724609e-01 9.842743277549743652e-01 7.523773312568664551e-01 7.604764103889465332e-01 5.753125548362731934e-01
3.376319259405136108e-02 4.896634817123413086e-01 9.995230436325073242e-01 9.191126823425292969e-01 9.424011111259460449e-01 9.916430711746215820e-01 3.840833157300949097e-02
8.875078521668910980e-03 9.998525381088256836e-01 7.022011280059814453e-01 9.999815225601196289e-01 2.551151216030120850e-01 9.013668894767761230e-01 7.795531749725341797e-01
6.496778875589370728e-02 9.959008097648620605e-01 9.804829359054565430e-01 6.491642594337463379e-01 5.836891531944274902e-01 5.992709398269653320e-01 8.994218111038208008e-01
9.950972199440002441e-01 7.060708403587341309e-01 9.061730504035949707e-01 9.990164041519165039e-01 9.814877510070800781e-01 6.977769136428833008e-01 7.176220417022705078e-02
1.804018169641494751e-01 5.538318157196044922e-01 9.786466956138610840e-01 9.979684948921203613e-01 7.167498022317886353e-02 4.533470869064331055e-01 9.982037544250488281e-01
2.243957947939634323e-03 9.830303788185119629e-01 5.924497842788696289e-01 4.456992149353027344e-01 8.359187841415405273e-01 4.687019884586334229e-01 1.084621772170066833e-01
2.099009305238723755e-01 9.149975776672363281e-01 7.917242050170898438e-01 9.945181012153625488e-01 9.994458556175231934e-01 1.693672388792037964e-01 2.403385043144226074e-01
4.721412807703018188e-02 6.440336704254150391e-01 1.144015118479728699e-01 9.998959302902221680e-01 4.242057204246520996e-01 2.925045415759086609e-02 1.411630511283874512e-01
1.226038336753845215e-01 4.561810791492462158e-01 9.865399003028869629e-01 9.999536275863647461e-01 9.999265670776367188e-01 9.593529105186462402e-01 8.295447826385498047e-01
4.881829395890235901e-02 9.645062685012817383e-01 8.880423903465270996e-01 9.983701109886169434e-01 1.528639197349548340e-01 9.940860271453857422e-01 5.422257184982299805e-01
6.638827919960021973e-01 9.996287822723388672e-01 2.744163572788238525e-01 7.455845475196838379e-01 1.530921757221221924e-01 1.493752449750900269e-01 1.092503219842910767e-02
4.533374309539794922e-01 1.948227882385253906e-01 2.501645684242248535e-02 3.386668562889099121e-01 7.507537007331848145e-01 7.944331765174865723e-01 9.750167131423950195e-01
1.187096461653709412e-01 8.514861464500427246e-01 9.634961485862731934e-01 9.942924976348876953e-01 9.723306894302368164e-01 2.291962653398513794e-01 4.538385570049285889e-01
8.624753355979919434e-02 9.993227720260620117e-01 2.472577840089797974e-01 8.494701981544494629e-01 9.863886237144470215e-01 9.694929718971252441e-01 9.886171221733093262e-01
7.145878672599792480e-01 4.198789596557617188e-01 9.317616224288940430e-01 8.732421994209289551e-01 4.244637787342071533e-01 9.997504353523254395e-01 2.101924121379852295e-01
7.276290059089660645e-01 6.018975004553794861e-02 5.194246172904968262e-01 4.190340638160705566e-01 2.270118296146392822e-01 9.370281696319580078e-01 5.067590475082397461e-01
8.861918002367019653e-03 9.995946288108825684e-01 9.812520742416381836e-01 8.833146691322326660e-01 9.985957741737365723e-01 8.104123175144195557e-02 8.935590833425521851e-02
6.149164214730262756e-02 6.374805700033903122e-03 9.741965532302856445e-01 3.202627301216125488e-01 9.927948117256164551e-01 1.297940462827682495e-01 3.116703629493713379e-01
2.414495684206485748e-02 9.956486523151397705e-02 5.503823757171630859e-01 9.994858503341674805e-01 2.334317117929458618e-01 5.980547070503234863e-01 3.656372725963592529e-01
4.245837032794952393e-02 9.999867677688598633e-01 1.109378263354301453e-01 1.199712790548801422e-02 9.992588162422180176e-01 9.994323849678039551e-01 5.889045000076293945e-01
3.504439443349838257e-02 9.982439279556274414e-01 1.521018743515014648e-01 9.998682737350463867e-01 3.329853117465972900e-01 3.960816264152526855e-01 7.402251362800598145e-01
1.459711231291294098e-02 8.001714944839477539e-01 9.847306013107299805e-01 6.226086989045143127e-02 9.321750402450561523e-01 6.630666553974151611e-02 7.158569097518920898e-01
4.730875790119171143e-02 9.781013727188110352e-01 9.999995231628417969e-01 9.894490242004394531e-01 9.995666146278381348e-01 9.806050062179565430e-01 8.104373216629028320e-01
6.828708201646804810e-02 9.652889370918273926e-01 8.622675538063049316e-01 9.994283318519592285e-01 9.470263719558715820e-01 1.065848916769027710e-01 4.004502892494201660e-01
3.477016687393188477e-01 9.766802191734313965e-01 4.307372272014617920e-01 5.979936718940734863e-01 9.882795810699462891e-01 4.636501371860504150e-01 1.061227992177009583e-01
7.265230417251586914e-01 3.273590803146362305e-01 5.810660719871520996e-01 3.109218180179595947e-01 9.007083177566528320e-01 9.844532608985900879e-01 9.668247699737548828e-01
4.579951465129852295e-01 8.690695464611053467e-02 9.272912740707397461e-01 9.993946552276611328e-01 9.997437596321105957e-01 9.837401509284973145e-01 9.682424664497375488e-01
4.678626358509063721e-02 9.952587485313415527e-01 3.455391228199005127e-01 7.195683717727661133e-01 8.710407018661499023e-01 9.838183522224426270e-01 8.193885087966918945e-01
8.689431473612785339e-03 5.773910135030746460e-02 2.377212792634963989e-01 9.220283031463623047e-01 9.998897314071655273e-01 8.008766770362854004e-01 2.212640084326267242e-02
1.680733449757099152e-02 7.899443507194519043e-01 9.556170105934143066e-01 9.987296462059020996e-01 9.841277003288269043e-01 9.901883006095886230e-01 7.845163941383361816e-01
