# bkg-pred	mN=200GeV-pred	mN=300GeV-pred	mN=500GeV-pred	mN=700GeV-pred	mN=900GeV-pred	mN=1100GeV-pred
4.272535443305969238e-02 9.898720383644104004e-01 9.997612833976745605e-01 8.607780188322067261e-02 9.659755229949951172e-01 2.324814796447753906e-01 4.028846323490142822e-01
1.492959409952163696e-01 9.999976158142089844e-01 9.554094672203063965e-01 6.354811042547225952e-02 2.797250151634216309e-01 3.909434676170349121e-01 9.882340431213378906e-01
1.860701888799667358e-01 9.999533891677856445e-01 9.766160249710083008e-01 9.381142258644104004e-01 2.192308008670806885e-01 2.263309359550476074e-01 3.828053772449493408e-01
2.277280949056148529e-02 5.518218874931335449e-01 6.324187517166137695e-01 1.409497559070587158e-01 3.686551451683044434e-01 9.994704127311706543e-01 5.112174749374389648e-01
1.250703930854797363e-01 9.150912165641784668e-01 1.550019383430480957e-01 9.955365657806396484e-01 8.111948370933532715e-01 9.306012392044067383e-01 9.153258204460144043e-01
1.744194775819778442e-01 9.327741861343383789e-01 1.969958245754241943e-01 8.918076753616333008e-01 9.281824827194213867e-01 9.256701469421386719e-01 9.503311514854431152e-01
4.756043478846549988e-02 2.012297660112380981e-01 9.530501365661621094e-01 7.824348807334899902e-01 7.976553440093994141e-01 1.355461627244949341e-01 9.888189435005187988e-01
3.324422240257263184e-01 9.383316636085510254e-01 8.583954572677612305e-01 9.915332198143005371e-01 9.967771172523498535e-01 8.989556431770324707e-01 6.476531028747558594e-01
5.081482529640197754e-01 3.896569460630416870e-02 9.380719661712646484e-01 9.999850988388061523e-01 9.605436325073242188e-01 1.187481209635734558e-01 9.967470169067382812e-01
5.845824489369988441e-04 9.820427298545837402e-01 9.999907016754150391e-01 9.714686870574951172e-01 1.660372912883758545e-01 2.212815731763839722e-02 9.988254904747009277e-01
6.181434988975524902e-01 4.024334251880645752e-01 8.431215286254882812e-01 9.970615506172180176e-01 9.787125587463378906e-01 9.167490005493164062e-01 9.982481002807617188e-01
1.566040702164173126e-02 8.385483622550964355e-01 2.440246939659118652e-01 8.161045908927917480e-01 2.144661694765090942e-01 3.112222850322723389e-01 3.465334773063659668e-01
6.884999573230743408e-02 9.192430973052978516e-01 9.215162992477416992e-01 9.994756579399108887e-01 5.529320836067199707e-01 1.108490601181983948e-01 9.986053109169006348e-01
4.331499934196472168e-01 2.719472348690032959e-01 9.999136924743652344e-01 9.798191785812377930e-01 3.855656981468200684e-01 3.996933996677398682e-01 9.999970197677612305e-01
