# mN	mSQ	0sq(mean)	1sq(mean)	2sq(mean)	S-comb(mean)	0sq(std)	1sq(std)	2sq(std)	S-comb(std)	0sq(min)	1sq(min)	2sq(min)	S-comb(min)	0sq(max)	1sq(max)	2sq(max)	S-comb(max)
5.000000000000000000e+02 2.000000000000000000e+03 2.924979794347445927e-01 1.187471190057637571e+00 4.372956637236961264e+00 5.246808608597963719e+00 1.296874188618959804e-02 1.121543988530631225e-01 1.168445080734131503e-01 1.274777415784895673e-01 2.892549335798957899e-01 1.140220035786514874e+00 4.250767191114161569e+00 5.093888676032210405e+00 2.988805783500753654e-01 1.277547219575712933e+00 4.525133886288775997e+00 5.418910635996895486e+00
5.000000000000000000e+02 2.200000000000000000e+03 2.920114582190549979e-01 8.370040720183793415e-01 3.540962085109558899e+00 4.122029005450722927e+00 1.106669163653212218e-02 1.235447688608845018e-01 1.205337630701991819e-01 1.266833523098550296e-01 2.883184753355900742e-01 7.710069411450031218e-01 3.465135781914624236e+00 4.013663599166792828e+00 2.983983109942791034e-01 9.200254975330061091e-01 3.715833280002227568e+00 4.312298477111429662e+00
5.000000000000000000e+02 2.300000000000000000e+03 2.836626020644383295e-01 6.276478341612274914e-01 3.120427992531388472e+00 3.540224835079366805e+00 1.370578503966413814e-02 1.265628408021103879e-01 1.186363999419391413e-01 1.165618500833704441e-01 2.803074594194911451e-01 5.963897122628988301e-01 3.004415330931210271e+00 3.437633629731031704e+00 2.934757469582215395e-01 7.934408908437839969e-01 3.254407629155922521e+00 3.698210803328994878e+00
5.000000000000000000e+02 2.700000000000000000e+03 2.713632215635460865e-01 2.390723807504992193e-01 1.345707913559632374e+00 1.560352889846077673e+00 9.795977062564549878e-03 9.359873292818086943e-02 1.438318645693358322e-01 1.422289061782013031e-01 2.686869906636059069e-01 1.834467230552783157e-01 1.265257862576340431e+00 1.468811286307037722e+00 2.778347324629593107e-01 4.696748106770436415e-01 1.478870280973287654e+00 1.704193532926492116e+00
5.000000000000000000e+02 3.000000000000000000e+03 2.732415490473548147e-01 9.009864785451418556e-02 5.674763630949166693e-01 6.457402220159649264e-01 7.487527368222634573e-03 5.952310059207970017e-02 1.340694166521922692e-01 1.292628669590052681e-01 2.707138434804494120e-01 5.280699246074406494e-02 4.662800772985968289e-01 5.844369200990321422e-01 2.800476518123000136e-01 2.570657741521302775e-01 8.266925407369316581e-01 8.531205833332375921e-01
7.000000000000000000e+02 2.000000000000000000e+03 1.000335160243075450e-01 7.925906404020442997e-01 3.359365517432626458e+00 4.042350615791860946e+00 7.117737787726291163e-03 7.231720942689136289e-02 1.155821747972221591e-01 1.240265170204965517e-01 9.777575787388267936e-02 7.506390398807886166e-01 3.251060047467163816e+00 3.911122457443723999e+00 1.038071081832333126e-01 8.501628212177322341e-01 3.520745711676595224e+00 4.227608042394852994e+00
7.000000000000000000e+02 2.200000000000000000e+03 8.833010065738627903e-02 5.907238366961268250e-01 2.898018794181369095e+00 3.337554967495457880e+00 5.938087865134566296e-03 9.833768867140575687e-02 1.270967765803603100e-01 1.255847201646210498e-01 8.667348773654748317e-02 5.489259667721599900e-01 2.776735486842582645e+00 3.215048713577728368e+00 9.031352922776245129e-02 6.425266720439687385e-01 3.030684029152001191e+00 3.477996383672877112e+00
7.000000000000000000e+02 2.300000000000000000e+03 9.040759229778359829e-02 5.015284154042338738e-01 2.608110444576831277e+00 2.943884462046214345e+00 3.000240774763436938e-03 1.091720663555322546e-01 1.279851170665408377e-01 1.252498506653148547e-01 8.893649488345480025e-02 4.820450857949007961e-01 2.516941881145645876e+00 2.844054205877736496e+00 9.477949595815188255e-02 6.485250741392284413e-01 2.774835215396114663e+00 3.132053869035965388e+00
7.000000000000000000e+02 2.700000000000000000e+03 8.499251115728975736e-02 1.810430882384475859e-01 1.220216380472996409e+00 1.364216724475544318e+00 2.731972869046076467e-03 8.159240635881183368e-02 1.450908581987076229e-01 1.442427076369490746e-01 8.379940273247647731e-02 1.493608284781640372e-01 1.151481761333944753e+00 1.293500008697493042e+00 8.737712293251011231e-02 3.899456974000658493e-01 1.356414074552094062e+00 1.503914025683746880e+00
7.000000000000000000e+02 3.000000000000000000e+03 8.229163604156035372e-02 8.384539992564717104e-02 4.975963815926899292e-01 5.644303704786147735e-01 2.187931200923425631e-03 5.926838289119311376e-02 1.327616931325163452e-01 1.353017071128006510e-01 8.152929698445426920e-02 4.963759851715340843e-02 4.388552961492562798e-01 5.055937998800292821e-01 8.446115812834625869e-02 2.503068051600225163e-01 7.590312942981355393e-01 7.965664741376854430e-01
