# FPR	mN=200GeV-mean	mN=200GeV-std	mN=200GeV-min	mN=200GeV-max	mN=300GeV-mean	mN=300GeV-std	mN=300GeV-min	mN=300GeV-max	mN=500GeV-mean	mN=500GeV-std	mN=500GeV-min	mN=500GeV-max	mN=700GeV-mean	mN=700GeV-std	mN=700GeV-min	mN=700GeV-max	mN=900GeV-mean	mN=900GeV-std	mN=900GeV-min	mN=900GeV-max	mN=1100GeV-mean	mN=1100GeV-std	mN=1100GeV-min	mN=1100GeV-max
2.805611222444889460e-02 2.595381023845255708e-01 1.931781240845985986e-02 2.423711855927964121e-01 3.005669501417375100e-01 3.602884775721194033e-01 1.560561470874333688e-02 3.442554610638652868e-01 3.911955977988994526e-01 4.982908120727030377e-01 1.495856852365988823e-02 4.757378689344672340e-01 5.175087543771885734e-01 5.218359179589794339e-01 1.547762218708144399e-02 4.940803735200933744e-01 5.391862597965649817e-01 4.773803568450892820e-01 2.298551341047850097e-02 4.372186093046523392e-01 5.075037518759379918e-01 3.842921460730365224e-01 2.888567996854065831e-02 3.445889611472403025e-01 4.340503585125896069e-01
3.006012024048096073e-02 2.662164415541103946e-01 1.916954736933360742e-02 2.497081874270468682e-01 3.070702017675504547e-01 3.678300907300678380e-01 1.546598232351450303e-02 3.510088377522094238e-01 3.978655994663998774e-01 5.079289644822411187e-01 1.479423670631109175e-02 4.811572452893113083e-01 5.261797565449390923e-01 5.321994330498582837e-01 1.628678481811367956e-02 4.992496248124062008e-01 5.516925129231282643e-01 4.887527096881775224e-01 2.308830163776040556e-02 4.439719859929964763e-01 5.164248791062198141e-01 3.965899616474904410e-01 2.829237814897215403e-02 3.525929631482407900e-01 4.423878605969651656e-01
3.206412825651302340e-02 2.729698182424545316e-01 1.904830037136124102e-02 2.563781890945472930e-01 3.136568284142071117e-01 3.751375687843921947e-01 1.556699834654481050e-02 3.580123395030848643e-01 4.067867266966816997e-01 5.171919292979823002e-01 1.503743333163731072e-02 4.873269968317491818e-01 5.370185092546273520e-01 5.417256724554662117e-01 1.725528459419571961e-02 5.058362514590628578e-01 5.647823911955978105e-01 4.992579623144905443e-01 2.336644867904799985e-02 4.505586126396531332e-01 5.262631315657828601e-01 4.079039519759879440e-01 2.799842444404615494e-02 3.615140903785226123e-01 4.520593630148407316e-01
3.406813627254508953e-02 2.793730198432549106e-01 1.921456179210950799e-02 2.619643154910788474e-01 3.198265799566449852e-01 3.818242454560613619e-01 1.580677817321108833e-02 3.636818409204602420e-01 4.136234784058696046e-01 5.261464065366016074e-01 1.583296694855092224e-02 4.948307487076871736e-01 5.463565115891279023e-01 5.504585626146406563e-01 1.790222265866427478e-02 5.135067533766883852e-01 5.759546439886610303e-01 5.097465399366349903e-01 2.441030531776735429e-02 4.593129898282474755e-01 5.349341337335333790e-01 4.184925796231449557e-01 2.818660748965937102e-02 3.696848424212105799e-01 4.588961147240286920e-01
3.607214428857714872e-02 2.863264965816241236e-01 1.958914878006063481e-02 2.679673169918292408e-01 3.287477071869268075e-01 3.895197598799399752e-01 1.654390057120257856e-02 3.713523428380857139e-01 4.226279806569951392e-01 5.349424712356178890e-01 1.566179072453435447e-02 5.040853760213439561e-01 5.563615140903784839e-01 5.608054027013507081e-01 1.830115133191638835e-02 5.243455060863765338e-01 5.894613973653493044e-01 5.211439052859763166e-01 2.456500921446348740e-02 4.710688677672169589e-01 5.488577622144406032e-01 4.304235451058862627e-01 2.780876926807769253e-02 3.803568450892112485e-01 4.712356178089044390e-01
3.807615230460921485e-02 2.920293480073369863e-01 2.019635587965363382e-02 2.730531932632982994e-01 3.334167083541770826e-01 3.959729864932466370e-01 1.716711925537463268e-02 3.766049691512423081e-01 4.280473570118392690e-01 5.428380857095215228e-01 1.536775114973306690e-02 5.120060030015007868e-01 5.606970151742537434e-01 5.692763048190762065e-01 1.842140661616252506e-02 5.320160080040019501e-01 5.963815240953810326e-01 5.306403201600800035e-01 2.420852990778156119e-02 4.812406203101550761e-01 5.562781390695347161e-01 4.400783725195932528e-01 2.791950604563083263e-02 3.888610972152742873e-01 4.778222444555610959e-01
4.008016032064128098e-02 2.978405869601467026e-01 1.997909937517109227e-02 2.786393196598299093e-01 3.399199599799899718e-01 4.023261630815406775e-01 1.706791757732671264e-02 3.828580957145239494e-01 4.345506086376521582e-01 5.506503251625813888e-01 1.572101184484867714e-02 5.204268801067200023e-01 5.732866433216607938e-01 5.773136568284142900e-01 1.887523007122467872e-02 5.411038852759713080e-01 6.074704018676004846e-01 5.394113723528430882e-01 2.407705607310485496e-02 4.910788727697181777e-01 5.693680173420043733e-01 4.503168250792062288e-01 2.813289787123258306e-02 3.978655994663998774e-01 4.890778722694680836e-01
4.208416833667334017e-02 3.028681007170251904e-01 1.995316673272143695e-02 2.839753209938302714e-01 3.436718359179589677e-01 4.083458395864599244e-01 1.655988484950248613e-02 3.890278472569618229e-01 4.388027347006836498e-01 5.570702017675503992e-01 1.515198502687328287e-02 5.277638819409704585e-01 5.801233950308487541e-01 5.843338335834583619e-01 1.834334779088768810e-02 5.489411372352842600e-01 6.144739036184758696e-01 5.474570618642655706e-01 2.366381679104097996e-02 4.991662497915624330e-01 5.770385192596297896e-01 4.584709021177255650e-01 2.776769865217996666e-02 4.062031015507753806e-01 4.944138736034683901e-01
4.408817635270540630e-02 3.085376021344005681e-01 2.061849936914922354e-02 2.887276971819243143e-01 3.512589628147407272e-01 4.142321160580289541e-01 1.680398879900716833e-02 3.948640987160246807e-01 4.454727363681840746e-01 5.634900783725195206e-01 1.533693649817579989e-02 5.333500083375021239e-01 5.845422711355677814e-01 5.915707853926963633e-01 1.846895225716616365e-02 5.560280140070035237e-01 6.203935300983824952e-01 5.553860263465066893e-01 2.347281676856093416e-02 5.065866266466566570e-01 5.837085209271302144e-01 4.672919793229948771e-01 2.783317575406540206e-02 4.140403535100883881e-01 5.027513756878438933e-01
4.609218436873747243e-02 3.139236284809071575e-01 2.132725210649365558e-02 2.918125729531432233e-01 3.585959646489911834e-01 4.194430548607637199e-01 1.717269619004914774e-02 3.974487243621810939e-01 4.517258629314657159e-01 5.697682174420544143e-01 1.536218640380483669e-02 5.416875104218775716e-01 5.911288977822244384e-01 5.981907620476905052e-01 1.828070485699253428e-02 5.638652659663164757e-01 6.273970318492579912e-01 5.628981157245289690e-01 2.269103540388278314e-02 5.174253793563448056e-01 5.917125229281307019e-01 4.755794563948640419e-01 2.784464700165306325e-02 4.223778555944638913e-01 5.119226279806570190e-01
