# bkg-pred	mN=2000GeV-pred	mN=2200GeV-pred	mN=2300GeV-pred	mN=2700GeV-pred	mN=3000GeV-pred
2.117559872567653656e-02 9.337918758392333984e-01 9.951052665710449219e-01 4.459429979324340820e-01 2.457211911678314209e-01 1.254119575023651123e-01
7.888939976692199707e-01 9.892662763595581055e-01 2.415981590747833252e-01 8.453589677810668945e-01 4.636265635490417480e-01 6.870543360710144043e-01
2.487159520387649536e-01 9.653501510620117188e-01 9.999960660934448242e-01 7.127012014389038086e-01 9.928870797157287598e-01 8.343856334686279297e-01
1.004520058631896973e-01 6.856369376182556152e-01 9.797249436378479004e-01 5.410615801811218262e-01 3.697092831134796143e-01 8.012666702270507812e-01
3.123475909233093262e-01 8.725173473358154297e-01 9.902400970458984375e-01 6.715902090072631836e-01 8.283887505531311035e-01 7.605189681053161621e-01
1.967386901378631592e-01 8.656385540962219238e-01 7.783695459365844727e-01 5.757289528846740723e-01 9.649460315704345703e-01 2.443600445985794067e-01
3.333291113376617432e-01 9.056357741355895996e-01 9.974192380905151367e-01 6.445786952972412109e-01 4.339634180068969727e-01 7.261502742767333984e-02
4.882270470261573792e-02 4.352658241987228394e-02 5.927321910858154297e-01 9.999833106994628906e-01 7.077329158782958984e-01 9.552088975906372070e-01
4.353150129318237305e-01 9.970304965972900391e-01 6.753110885620117188e-01 2.202999293804168701e-01 9.780853986740112305e-01 6.163502931594848633e-01
1.536101698875427246e-01 9.999811649322509766e-01 9.936548471450805664e-01 9.993103742599487305e-01 5.642638802528381348e-01 4.538092613220214844e-01
5.604437589645385742e-01 4.912044405937194824e-01 9.739965796470642090e-01 3.875500857830047607e-01 8.297396302223205566e-01 4.256198704242706299e-01
8.901599049568176270e-02 9.215633869171142578e-01 9.998748302459716797e-01 9.998458623886108398e-01 9.993007183074951172e-01 7.182642817497253418e-01
1.546783596277236938e-01 9.992314577102661133e-01 5.306677818298339844e-01 4.135076403617858887e-01 4.327340424060821533e-01 9.135417342185974121e-01
6.192024447955191135e-04 9.441319704055786133e-01 9.845632910728454590e-01 7.188815474510192871e-01 7.148485779762268066e-01 9.638725519180297852e-01
2.530763745307922363e-01 6.301596015691757202e-02 1.903711110353469849e-01 9.056935310363769531e-01 4.127709269523620605e-01 7.361924052238464355e-01
3.192401230335235596e-01 9.999967813491821289e-01 9.862926006317138672e-01 6.892469525337219238e-01 8.598680496215820312e-01 5.531408190727233887e-01
3.588790893554687500e-01 1.876691728830337524e-01 8.956444859504699707e-01 5.706526637077331543e-01 8.526141643524169922e-01 7.538540959358215332e-01
7.513535022735595703e-02 8.160569518804550171e-02 9.991192221641540527e-01 4.783467054367065430e-01 9.998331069946289062e-01 3.799476623535156250e-01
1.749464310705661774e-02 9.197985529899597168e-01 9.992409944534301758e-01 2.146096229553222656e-01 9.490492343902587891e-01 4.642560184001922607e-01
1.174715012311935425e-01 9.907160997390747070e-01 6.177678704261779785e-01 8.510323762893676758e-01 9.555141925811767578e-01 9.999995231628417969e-01
4.497992396354675293e-01 9.999487400054931641e-01 6.781491041183471680e-01 9.174109697341918945e-01 8.277489244937896729e-02 5.592392086982727051e-01
4.372557699680328369e-01 5.526965260505676270e-01 9.928417205810546875e-01 9.999222755432128906e-01 6.022628545761108398e-01 7.907635569572448730e-01
6.366597414016723633e-01 8.896170258522033691e-01 6.057814359664916992e-01 8.222649246454238892e-02 5.972118973731994629e-01 8.444035649299621582e-01
8.369151353836059570e-01 8.413449525833129883e-01 5.461903810501098633e-01 9.378983378410339355e-01 1.221647262573242188e-01 1.519662439823150635e-01
1.106643974781036377e-01 8.876387476921081543e-01 9.989241957664489746e-01 9.250653386116027832e-01 9.955917000770568848e-01 1.732489615678787231e-01
4.830030500888824463e-01 4.622355997562408447e-01 9.754812121391296387e-01 8.347219824790954590e-01 6.808778047561645508e-01 7.505915164947509766e-01
8.411385416984558105e-01 9.577386975288391113e-01 9.930111765861511230e-01 9.895253181457519531e-01 6.192769408226013184e-01 9.985132813453674316e-01
3.484707474708557129e-01 9.253748059272766113e-01 9.988081455230712891e-01 8.825384974479675293e-01 2.126104235649108887e-01 2.062346488237380981e-01
4.358268976211547852e-01 4.797268509864807129e-01 9.855803847312927246e-01 9.962242841720581055e-01 7.776945233345031738e-01 8.009942173957824707e-01
5.272439122200012207e-01 9.808827042579650879e-01 9.312120079994201660e-01 8.000103235244750977e-01 8.139594793319702148e-01 5.264567583799362183e-02
7.745529413223266602e-01 9.988932013511657715e-01 6.243252158164978027e-01 7.731738090515136719e-01 2.090445458889007568e-01 2.976238727569580078e-01
4.763537943363189697e-01 9.996809959411621094e-01 7.603436708450317383e-01 6.013376712799072266e-01 6.818756461143493652e-01 8.022106289863586426e-01
